backbone,model_name,task,num_labels,n_train,n_test,time_seconds,confusion_matrix,leak_train_test,leak_val_test,val_accuracy,val_macro_f1,val_weighted_f1,val_binary_f1,val_precision,val_recall,test_accuracy,test_macro_f1,test_weighted_f1,test_binary_f1,test_precision,test_recall
banglabert,csebuetnlp/banglabert,ben_sarc_binary,2,20498,2563,183.5,"[[981, 300], [217, 1065]]",0,0,0.795472287275566,0.7951847152881903,0.7951847152881902,0.8028592927012792,0.7748729121278141,0.8329430132708822,0.7982832618025751,0.798066356564008,0.798068938769229,0.8046845485455232,0.7802197802197802,0.8307332293291732
banglabert,csebuetnlp/banglabert,banglasarc_binary,2,3708,464,57.8,"[[292, 6], [5, 161]]",0,0,0.978401727861771,0.9765839941738146,0.9784299097794138,0.9700598802395209,0.9642857142857143,0.9759036144578314,0.9762931034482759,0.9742397860044918,0.976308777627236,0.9669669669669669,0.9640718562874252,0.9698795180722891
banglabert,csebuetnlp/banglabert,banglasarc3_binary,2,6328,791,86.9,"[[274, 122], [86, 309]]",0,0,0.7699115044247787,0.7689510175258394,0.7689321844493895,0.7838479809976246,0.738255033557047,0.8354430379746836,0.7370417193426043,0.7365258721190925,0.7365111336269922,0.7481840193704601,0.7169373549883991,0.7822784810126582
banglabert,csebuetnlp/banglabert,banglasarc3_ternary,3,9528,1192,123.2,"[[189, 114, 93], [70, 289, 42], [67, 43, 285]]",0,0,0.6448362720403022,0.6387052160045177,0.6388948109669155,,,,0.6401006711409396,0.6351135700096648,0.6352580345397365,,,
muril,google/muril-base-cased,ben_sarc_binary,2,20498,2563,311.7,"[[1031, 250], [270, 1012]]",0,0,0.7943013270882123,0.7942960308059128,0.7942960308059128,0.793252255786583,0.7973186119873817,0.7892271662763466,0.797112758486149,0.7971016081337172,0.7971010212730629,0.7955974842767296,0.8019017432646592,0.7893915756630265
muril,google/muril-base-cased,banglasarc_binary,2,3708,464,83.9,"[[291, 7], [7, 159]]",0,0,0.980561555075594,0.9788418086267741,0.980548526693406,0.972809667673716,0.9757575757575757,0.9698795180722891,0.9698275862068966,0.9671706962076494,0.9698275862068966,0.9578313253012049,0.9578313253012049,0.9578313253012049
muril,google/muril-base-cased,banglasarc3_binary,2,6328,791,122.4,"[[281, 115], [85, 310]]",0,0,0.7635903919089759,0.7632028457217321,0.7631907349033809,0.772782503037667,0.7429906542056075,0.8050632911392405,0.7471554993678887,0.7468151846872799,0.7468034496982935,0.7560975609756098,0.7294117647058823,0.7848101265822784
muril,google/muril-base-cased,banglasarc3_ternary,3,9528,1192,169.7,"[[179, 126, 91], [74, 282, 45], [72, 40, 283]]",0,0,0.6246851385390428,0.618350110027463,0.6184626147083111,,,,0.6241610738255033,0.6187250810050906,0.6188520296216729,,,
xlm-roberta,xlm-roberta-base,ben_sarc_binary,2,20498,2563,335.7,"[[992, 289], [273, 1009]]",0,0,0.7728337236533958,0.7728287398875634,0.7728287398875634,0.7738927738927739,0.7703016241299304,0.7775175644028103,0.7807257120561841,0.7807160647192435,0.7807166322096517,0.7821705426356589,0.7773497688751926,0.7870514820592823
xlm-roberta,xlm-roberta-base,banglasarc_binary,2,3708,464,92.6,"[[279, 19], [10, 156]]",0,0,0.9460043196544277,0.9422534859936641,0.9464175470916304,0.927536231884058,0.8938547486033519,0.963855421686747,0.9375,0.9327761319298385,0.9378456488831826,0.9149560117302052,0.8914285714285715,0.9397590361445783
xlm-roberta,xlm-roberta-base,banglasarc3_binary,2,6328,791,130.0,"[[275, 121], [93, 302]]",0,0,0.7509481668773704,0.750372054203772,0.7503568933439403,0.7623642943305187,0.728110599078341,0.8,0.729456384323641,0.7291407980132874,0.7291291096314224,0.7383863080684596,0.7139479905437353,0.7645569620253164
xlm-roberta,xlm-roberta-base,banglasarc3_ternary,3,9528,1192,175.6,"[[206, 110, 80], [79, 274, 48], [71, 41, 283]]",0,0,0.617968094038623,0.6151103803327963,0.6152299207606178,,,,0.6401006711409396,0.6378479492348249,0.6379012766137959,,,
mbert,bert-base-multilingual-cased,ben_sarc_binary,2,20498,2563,280.5,"[[980, 301], [358, 924]]",0,0,0.7361436377829821,0.7361121184325604,0.7361121184325604,0.7332280978689818,0.7414205905826018,0.7252146760343482,0.7428794381584081,0.7427566311844971,0.7427544382028202,0.7371360191463902,0.7542857142857143,0.7207488299531981
mbert,bert-base-multilingual-cased,banglasarc_binary,2,3708,464,79.6,"[[281, 17], [8, 158]]",0,0,0.9632829373650108,0.9604458448287125,0.9634430958146405,0.9498525073746312,0.930635838150289,0.9698795180722891,0.9461206896551724,0.9420483895946884,0.9464186628303297,0.9266862170087976,0.9028571428571428,0.9518072289156626
mbert,bert-base-multilingual-cased,banglasarc3_binary,2,6328,791,110.8,"[[266, 130], [84, 311]]",0,0,0.7496839443742098,0.7494336507448933,0.7494236389997205,0.7573529411764706,0.7339667458432304,0.7822784810126582,0.729456384323641,0.7285779339892505,0.7285584128707085,0.7440191387559809,0.7052154195011338,0.7873417721518987
mbert,bert-base-multilingual-cased,banglasarc3_ternary,3,9528,1192,146.3,"[[213, 97, 86], [109, 237, 55], [106, 36, 253]]",0,0,0.6020151133501259,0.6027990138120062,0.602846859825918,,,,0.589765100671141,0.5910314692292976,0.5910889238936974,,,
sagorsarker-bb,sagorsarker/bangla-bert-base,ben_sarc_binary,2,20498,2563,274.9,"[[975, 306], [332, 950]]",0,0,0.7408274785323966,0.7407364734498303,0.7407364734498303,0.7358790771678599,0.7502027575020276,0.7220921155347385,0.7510729613733905,0.7510492751293172,0.7510483276795543,0.7486209613869188,0.7563694267515924,0.7410296411856474
sagorsarker-bb,sagorsarker/bangla-bert-base,banglasarc_binary,2,3708,464,70.7,"[[286, 12], [12, 154]]",0,0,0.9438444924406048,0.9397280301209645,0.9441846959380956,0.9239766081871345,0.8977272727272727,0.9518072289156626,0.9482758620689655,0.9437211934988274,0.9482758620689655,0.927710843373494,0.927710843373494,0.927710843373494
sagorsarker-bb,sagorsarker/bangla-bert-base,banglasarc3_binary,2,6328,791,103.4,"[[290, 106], [103, 292]]",0,0,0.718078381795196,0.7180495414926384,0.7180531465304582,0.7151979565772669,0.7216494845360825,0.7088607594936709,0.7357774968394437,0.7357758076451588,0.7357749630480163,0.7364438839848676,0.7336683417085427,0.739240506329114
sagorsarker-bb,sagorsarker/bangla-bert-base,banglasarc3_ternary,3,9528,1192,140.6,"[[217, 87, 92], [106, 245, 50], [102, 48, 245]]",0,0,0.6053736356003359,0.6049659999271871,0.6050527180697504,,,,0.5931208053691275,0.5942076211462795,0.5943196806187383,,,
